Name,Address
Opentensor Foundation,5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3
τaosτaτs,5Hddm3iBFD2GLT5ik7LZnT3XJUnRnN8PoeCFgGQgawUVKNm8
Foundry,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2
TAO-Validator.com,5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux
FirstTensor,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed
Neural Inτerneτ,5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf
Bittensor Guru Podcast,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN
RountTable21,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v
TaoBridge.XYZ,5FLKnbMjHY8LarHZvk2q2RY9drWFbpxjAcR5x8tjr3GqtU6F
TaoPolishNode,5H6BgKkAr2Anmm9Xw5BVDE4VaQmFEVMkJUHeT7Gki4J7yF4x
Rizzo,5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w
Taostation,5HeKSHGdsRCwVgyrHchijnZJnq4wiv6GqoDLNah8R5WMfnLB
NorthTensor,5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A
PR validator,5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A
Giga Corporation,5ED6jwDECEmNvSp98R2qyEUPHDv9pi14E6n3TS8CicD6YfhL
Tensor.Exchange,5GcBK8PDrVifV1xAf4Qkkk6KsbsmhDdX9atvk8vyKU8xdU63
Lucrosus Pool,5FcXnzNo3mrqReTEY4ftkg5iXRBi61iyvM4W1bywZLRqfxAY
Owl Ventures,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp
Chat With Hal,5CPzGD8sxyv8fKKXNvKem4qJRhCXABRmpUgC1wb1V4YAXLc3
Vune's Validator,5ECvRLMj9jkbdM4sLuH5WvjUe87TcAdjRfUj5onN4iKqYYGm
bitnost.re,5Gpt8XWFTXmKrRF1qaxcBQLvnPLpKi6Pt2XC4vVQR7gqNKtU
